Inácio|12345678|8.0|7.0|6.0
Otavio|87654321|9.0|8.0|3.0
João Pedro|94732156|9.0|7.0|6.0
Rogerio|52464234|9.4|3.0|7.5
Francisco Kauê|45323244|8.0|4.0|10.0
Manoel Gomes|38574631|6.0|6.0|6.0
Raimundo Pereira|23134123|6.0|1.0|3.0
João|12453234|8.0|7.0|6.0
Livia|73915628|4.0|6.0|10.0
Kaue|84126436|8.0|4.0|2.0
Lucas|62395314|7.0|7.0|7.0
Ana Clara|71829345|9.5|8.5|9.0
Pedro Henrique|82930456|6.5|7.0|6.0
Maria Julia|93041567|8.0|9.0|8.5
Gabriel|14253647|7.5|7.5|7.5
Laura|25364758|9.0|9.5|10.0
Enzo|36475869|5.0|6.5|5.5
Valentina|47586970|8.5|8.0|9.0
Arthur|58697081|7.0|6.0|6.5
Alice|69708192|9.5|10.0|9.5
Miguel|70819203|6.0|7.0|8.0
Sophia|81920314|8.0|8.5|9.0
Davi|92031425|7.5|6.5|7.0
Helena|13243546|9.0|9.0|8.5
Bernardo|24354657|6.5|5.5|6.0
Manuela|35465768|8.5|7.5|8.0
Heitor|46576879|7.0|8.0|7.5
Julia|57687980|9.5|9.0|9.5
Matheus|68798091|6.0|5.0|6.5
Isabella|79809102|8.0|8.5|8.0
Rafael|80910213|7.5|7.5|7.0
Giovanna|91021324|9.0|9.5|9.0
Samuel|15263748|6.5|7.0|6.5
Beatriz|26374859|8.5|8.0|8.5
Rodrigo|37485960|7.0|6.5|7.0
Luiza|48596071|9.5|9.0|9.5
Felipe|59607182|6.0|6.0|5.5
Yasmin|60718293|8.0|8.5|8.0
Thiago|71829304|7.5|7.0|7.5
Lara|82930415|9.0|9.5|9.0
Diego|93041526|6.5|5.5|6.0
Leticia|17283940|8.5|8.0|8.5
Leonardo|28394051|7.0|7.5|7.0
Amanda|39405162|9.5|9.0|9.5
Daniel|40516273|6.0|6.5|6.0
Camila|51627384|8.0|8.5|8.0
Bruno|62738495|7.5|7.0|7.5
Bruna|73849506|9.0|9.5|9.0
Vitor|84950617|6.5|6.0|6.5
Gabriela|95061728|8.5|8.0|8.5
Eduardo|16273849|7.0|7.5|7.0
Carolina|27384950|9.5|10.0|9.5
Marcelo|38495061|5.5|6.0|5.5
Melissa|49506172|8.0|8.5|8.0
Fernando|50617283|7.5|7.0|7.5
Aline|61728394|9.0|9.5|9.0
Guilherme|72839405|6.0|6.5|6.0
Natalia|83940516|8.5|8.0|8.5
Henrique|94051627|7.0|7.5|7.0
Larissa|18293041|9.5|9.0|9.5
Ricardo|29304152|6.5|6.0|6.5
Renata|30415263|8.0|8.5|8.0
Vinicius|41526374|7.5|7.0|7.5
Bianca|52637485|9.0|9.5|9.0
Alex|63748596|6.0|5.5|6.0
Juliana|74859607|8.5|8.0|8.5
Caio|85960718|7.0|7.5|7.0
Vanessa|96071829|9.5|9.0|9.5
Igor|19283746|6.5|7.0|6.5
Fernanda|20394857|8.0|8.5|8.0
Marcos|31405968|7.5|7.0|7.5
Patricia|42516079|9.0|9.5|9.0
Anderson|53627180|5.5|6.0|5.5
Jessica|64738291|8.5|8.0|8.5
Roberto|75849302|7.0|7.5|7.0
Daniela|86950413|9.5|9.0|9.5
Leandro|97061524|6.0|6.5|6.0
Thais|10928374|8.0|8.5|8.0
Murilo|21039485|7.5|7.0|7.5
Sabrina|32140596|9.0|9.5|9.0
Fabio|43251607|6.5|6.0|6.5
Mayara|54362718|8.5|8.0|8.5
Paulo|65473829|7.0|7.5|7.0
Priscila|76584930|9.5|10.0|9.5
Antonio|87695041|5.5|6.0|5.5
Tatiane|98706152|8.0|8.5|8.0
Julio|19827364|7.5|7.0|7.5
Marcela|20938475|9.0|9.5|9.0
Renato|31049586|6.0|6.5|6.0
Kelly|42150697|8.5|8.0|8.5
Carlos|53261708|7.0|7.5|7.0
Taina|64372819|9.5|9.0|9.5
Tiago|75483920|6.5|6.0|6.5
Barbara|86594031|8.0|8.5|8.0
Andre|97605142|7.5|7.0|7.5
Pamela|18796053|9.0|9.5|9.0
Victor|29807164|5.5|6.0|5.5
Paloma|30918275|8.5|8.0|8.5
Sergio|41029386|7.0|7.5|7.0
Evelyn|52130497|9.5|10.0|9.5
